Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE 2:Surface Inside Face Temperature [C](TimeStep),SURFACE 2:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,22.252869568391766,20.44553524626847,22.339999999999996 
 01/25  00:02:00,20.4,22.252869568392608,20.44553524627529,22.34 
 01/25  00:03:00,20.4,22.25286956840182,20.445535246284013,22.34 
 01/25  00:04:00,20.4,22.252869568419896,20.445535246294305,22.339999999999993 
 01/25  00:05:00,20.4,22.25286956844723,20.445535246305898,22.34 
 01/25  00:06:00,20.4,22.25286956848402,20.445535246318595,22.339999999999996 
 01/25  00:07:00,20.4,22.252869568530155,20.445535246332298,22.34 
 01/25  00:08:00,20.4,22.252869568585172,20.445535246346925,22.34 
 01/25  00:09:00,20.4,22.252869568648233,20.445535246362365,22.339999999999996 
 01/25  00:10:00,20.4,22.252869568718175,20.445535246378377,22.339999999999996 
 01/25  00:11:00,20.4,22.25286956879367,20.44553524639461,22.34 
 01/25  00:12:00,20.4,22.252869568873372,20.445535246410635,22.34 
 01/25  00:13:00,20.4,22.252869568956058,20.445535246426108,22.339999999999996 
 01/25  00:14:00,20.4,22.2528695690406,20.445535246440805,22.339999999999996 
 01/25  00:15:00,20.4,22.252869569125934,20.445535246454604,22.339999999999996 
 01/25  00:16:00,20.4,22.252869569210993,20.445535246467372,22.34 
 01/25  00:17:00,20.4,22.25286956929473,20.445535246478915,22.339999999999996 
 01/25  00:18:00,20.4,22.252869569376106,20.44553524648894,22.34 
 01/25  00:19:00,20.4,22.25286956945407,20.445535246496995,22.34 
 01/25  00:20:00,20.4,22.252869569527594,20.445535246502473,22.339999999999993 
 01/25  00:21:00,20.4,22.252869569595752,20.44553524650465,22.339999999999996 
 01/25  00:22:00,20.4,22.252869569657836,20.445535246502732,22.34 
 01/25  00:23:00,20.4,22.252869569713436,20.445535246495954,22.339999999999996 
 01/25  00:24:00,20.4,22.252869569762478,20.445535246483693,22.339999999999996 
 01/25  00:25:00,20.4,22.252869569805146,20.445535246465543,22.339999999999996 
 01/25  00:26:00,20.4,22.252869569841774,20.445535246441285,22.339999999999996 
 01/25  00:27:00,20.4,22.252869569872715,20.445535246410923,22.34 
 01/25  00:28:00,20.4,22.252869569898287,20.445535246374643,22.339999999999993 
 01/25  00:29:00,20.4,22.252869569918737,20.445535246332803,22.34 
 01/25  00:30:00,20.4,22.252869569934262,20.4455352462859,22.34 
 01/25  00:31:00,20.4,22.252869569945013,20.445535246234574,22.339999999999996 
 01/25  00:32:00,20.4,22.25286956995118,20.44553524617963,22.339999999999996 
 01/25  00:33:00,20.4,22.25286956995297,20.445535246122013,22.339999999999996 
 01/25  00:34:00,20.4,22.25286956995055,20.445535246062725,22.339999999999996 
 01/25  00:35:00,20.4,22.252869569943986,20.44553524600276,22.339999999999996 
 01/25  00:36:00,20.4,22.252869569933257,20.44553524594315,22.339999999999996 
 01/25  00:37:00,20.4,22.252869569918325,20.445535245885008,22.339999999999996 
 01/25  00:38:00,20.4,22.252869569899186,20.445535245829525,22.339999999999996 
 01/25  00:39:00,20.4,22.252869569875912,20.445535245777894,22.339999999999996 
 01/25  00:40:00,20.4,22.25286956984879,20.445535245731104,22.34 
 01/25  00:41:00,20.4,22.252869569818436,20.44553524568991,22.339999999999996 
 01/25  00:42:00,20.4,22.252869569785823,20.445535245654764,22.34 
 01/25  00:43:00,20.4,22.252869569752292,20.44553524562591,22.339999999999996 
 01/25  00:44:00,20.4,22.252869569719373,20.445535245603427,22.34 
 01/25  00:45:00,20.4,22.25286956968867,20.445535245587266,22.34 
 01/25  00:46:00,20.4,22.252869569661733,20.445535245577314,22.34 
 01/25  00:47:00,20.4,22.252869569640023,20.44553524557337,22.34 
 01/25  00:48:00,20.4,22.25286956962485,20.445535245575133,22.34 
 01/25  00:49:00,20.4,22.252869569617303,20.445535245582185,22.34 
 01/25  00:50:00,20.4,22.252869569618174,20.44553524559402,22.339999999999996 
 01/25  00:51:00,20.4,22.252869569627865,20.445535245610063,22.339999999999996 
 01/25  00:52:00,20.4,22.252869569646375,20.445535245629763,22.339999999999996 
 01/25  00:53:00,20.4,22.252869569673287,20.445535245652646,22.339999999999996 
 01/25  00:54:00,20.4,22.252869569707826,20.445535245678315,22.34 
 01/25  00:55:00,20.4,22.25286956974884,20.445535245706438,22.34 
 01/25  00:56:00,20.4,22.252869569794772,20.445535245736647,22.339999999999996 
 01/25  00:57:00,20.4,22.252869569843718,20.44553524576847,22.34 
 01/25  00:58:00,20.4,22.25286956989364,20.445535245801285,22.34 
 01/25  00:59:00,20.4,22.252869569942717,20.445535245834385,22.339999999999996 
 01/25  01:00:00,20.4,22.252869569989606,20.445535245867077,22.339999999999996 
 01/25  01:01:00,20.4,22.252869570033546,20.44553524589884,22.339999999999996 
 01/25  01:02:00,20.4,22.2528695700743,20.44553524592939,22.34 
 01/25  01:03:00,20.4,22.252869570112015,20.44553524595864,22.339999999999996 
 01/25  01:04:00,20.4,22.252869570147137,20.445535245986665,22.34 
 01/25  01:05:00,20.4,22.25286957018034,20.445535246013613,22.339999999999996 
 01/25  01:06:00,20.4,22.25286957021247,20.445535246039686,22.339999999999996 
 01/25  01:07:00,20.4,22.252869570244513,20.445535246065113,22.339999999999996 
 01/25  01:08:00,20.4,22.252869570277504,20.445535246090163,22.339999999999996 
 01/25  01:09:00,20.4,22.252869570312367,20.4455352461152,22.339999999999996 
 01/25  01:10:00,20.4,22.252869570349795,20.445535246140697,22.339999999999996 
 01/25  01:11:00,20.4,22.2528695703902,20.445535246167246,22.34 
 01/25  01:12:00,20.4,22.252869570433745,20.4455352461955,22.34 
 01/25  01:13:00,20.4,22.25286957048044,20.445535246226076,22.339999999999996 
 01/25  01:14:00,20.4,22.252869570530184,20.445535246259432,22.339999999999996 
 01/25  01:15:00,20.4,22.25286957058273,20.445535246295723,22.34 
 01/25  01:16:00,20.4,22.25286957063757,20.445535246334753,22.339999999999996 
 01/25  01:17:00,20.4,22.252869570693882,20.445535246375954,22.339999999999996 
 01/25  01:18:00,20.4,22.252869570750523,20.445535246418522,22.34 
 01/25  01:19:00,20.4,22.252869570806116,20.445535246461553,22.339999999999996 
 01/25  01:20:00,20.4,22.252869570859126,20.44553524650418,22.34 
 01/25  01:21:00,20.4,22.252869570907986,20.445535246545635,22.339999999999996 
 01/25  01:22:00,20.4,22.2528695709513,20.44553524658531,22.34 
